A	T_merge	T_heap
[4, 18, 25, 10, 14, 0, 23, 3, 19, 28, 9, 6, 29, 20, 11]	9.999999999177334e-07	2.0000000000575113e-06
[9, 20, 1, 23, 6, 25, 21, 12, 11, 24, 19, 0, 10, 5, 18]	2.9999999999752447e-06	2.0000000000575113e-06
[13, 2, 22, 21, 14, 29, 6, 5, 23, 18, 24, 27, 12, 28, 11]	1.000000000139778e-06	1.000000000139778e-06
[2, 10, 26, 4, 24, 9, 25, 3, 16, 13, 12, 1, 23, 28, 19]	1.000000000139778e-06	9.999999999177334e-07
[21, 12, 22, 27, 7, 24, 28, 8, 26, 2, 6, 10, 13, 25, 20]	0.0	0.0
[29, 10, 0, 17, 18, 26, 2, 20, 15, 3, 12, 23, 1, 21, 8]	1.000000000139778e-06	0.0
[13, 29, 18, 15, 4, 22, 10, 1, 25, 0, 3, 5, 28, 26, 14]	0.0	2.9999999999752447e-06
[15, 9, 20, 5, 23, 2, 29, 6, 16, 14, 19, 3, 27, 18, 26]	2.0000000000575113e-06	9.999999999177334e-07
[8, 0, 16, 25, 4, 27, 13, 20, 23, 15, 22, 19, 24, 17, 2]	0.0	0.0
[12, 7, 28, 27, 8, 0, 29, 26, 19, 25, 21, 4, 10, 24, 23]	0.0	1.000000000139778e-06
[24, 21, 26, 7, 25, 6, 14, 5, 13, 10, 17, 9, 28, 8, 0]	0.0	1.000000000139778e-06
[24, 21, 16, 10, 7, 12, 26, 1, 5, 19, 4, 22, 6, 17, 25]	0.0	1.000000000139778e-06
[6, 17, 7, 5, 26, 28, 8, 11, 4, 18, 25, 10, 21, 20, 9]	0.0	0.0
[20, 3, 18, 6, 5, 8, 26, 7, 1, 21, 22, 29, 24, 25, 19]	1.9999999998354667e-06	0.0
[7, 6, 11, 20, 29, 22, 13, 19, 1, 8, 25, 17, 3, 26, 12]	0.0	0.0
[3, 10, 28, 15, 22, 23, 24, 12, 26, 1, 2, 27, 11, 6, 25]	9.999999999177334e-07	1.000000000139778e-06
[1, 20, 21, 3, 15, 23, 12, 28, 18, 13, 22, 27, 11, 4, 16]	1.000000000139778e-06	9.999999999177334e-07
[22, 4, 23, 25, 11, 14, 6, 13, 0, 27, 20, 15, 7, 26, 16]	0.0	9.999999999177334e-07
[1, 29, 20, 0, 23, 14, 11, 8, 15, 3, 6, 4, 26, 7, 22]	0.0	0.0
[10, 22, 18, 23, 19, 11, 3, 24, 4, 26, 13, 15, 17, 29, 5]	2.0000000000575113e-06	9.999999999177334e-07
[13, 18, 17, 5, 6, 0, 11, 22, 3, 10, 14, 25, 26, 8, 28]	2.0000000000575113e-06	9.999999999177334e-07
[8, 13, 20, 16, 0, 21, 27, 15, 25, 28, 23, 9, 4, 22, 26]	1.000000000139778e-06	0.0
[12, 23, 2, 19, 8, 21, 13, 20, 14, 28, 3, 18, 24, 17, 11]	0.0	2.0000000000575113e-06
[25, 3, 17, 5, 21, 7, 6, 18, 11, 16, 28, 9, 26, 19, 0]	0.0	9.999999999177334e-07
[25, 7, 0, 2, 9, 16, 29, 28, 12, 24, 26, 20, 23, 11, 17]	0.0	2.0000000000575113e-06
[0, 9, 4, 15, 17, 3, 7, 19, 22, 14, 6, 2, 12, 27, 25]	0.0	9.999999999177334e-07
[21, 4, 24, 11, 9, 20, 1, 5, 19, 10, 28, 18, 22, 3, 8]	2.0000000000575113e-06	0.0
[27, 0, 2, 9, 29, 25, 10, 7, 19, 23, 11, 15, 4, 5, 20]	2.0000000000575113e-06	1.000000000139778e-06
[20, 4, 5, 14, 12, 11, 10, 16, 7, 15, 19, 23, 0, 6, 17]	1.000000000139778e-06	9.999999999177334e-07
[7, 27, 25, 21, 17, 11, 15, 4, 16, 14, 5, 9, 0, 26, 2]	0.0	0.0
[20, 12, 13, 16, 10, 15, 25, 19, 18, 22, 9, 2, 23, 0, 21]	2.0000000000575113e-06	1.000000000139778e-06
[14, 5, 29, 23, 6, 27, 7, 21, 11, 17, 0, 9, 19, 12, 2]	0.0	9.999999999177334e-07
[25, 15, 6, 16, 23, 5, 24, 21, 19, 18, 20, 9, 4, 29, 12]	2.0000000000575113e-06	0.0
[9, 7, 26, 29, 22, 11, 15, 17, 6, 16, 18, 2, 4, 19, 12]	1.000000000139778e-06	0.0
[15, 10, 23, 29, 21, 1, 2, 4, 9, 6, 13, 19, 28, 25, 17]	9.999999999177334e-07	0.0
[11, 27, 2, 24, 18, 14, 7, 9, 29, 1, 21, 25, 4, 0, 16]	0.0	2.0000000000575113e-06
[26, 13, 12, 23, 14, 22, 2, 0, 16, 11, 9, 27, 28, 20, 7]	0.0	9.999999999177334e-07
[17, 22, 28, 19, 25, 7, 16, 0, 20, 2, 26, 11, 27, 1, 23]	0.0	0.0
[27, 24, 22, 13, 17, 25, 10, 8, 19, 5, 12, 4, 29, 14, 23]	0.0	0.0
[7, 18, 5, 11, 9, 21, 27, 20, 2, 23, 22, 13, 10, 1, 25]	1.000000000139778e-06	1.000000000139778e-06
[25, 2, 7, 16, 24, 0, 4, 10, 14, 20, 27, 23, 5, 3, 1]	9.999999999177334e-07	0.0
[29, 26, 13, 3, 20, 15, 19, 11, 23, 18, 21, 1, 12, 8, 9]	1.000000000139778e-06	9.999999999177334e-07
[29, 22, 5, 1, 17, 10, 26, 14, 13, 8, 6, 4, 27, 9, 7]	0.0	1.9999999998354667e-06
[14, 7, 9, 10, 12, 11, 21, 17, 15, 16, 19, 18, 3, 20, 24]	0.0	1.000000000139778e-06
[29, 17, 8, 18, 1, 12, 19, 26, 23, 2, 10, 9, 15, 22, 25]	1.000000000139778e-06	1.000000000139778e-06
[2, 25, 10, 13, 23, 12, 18, 9, 3, 4, 16, 28, 22, 27, 17]	0.0	1.000000000139778e-06
[11, 6, 24, 13, 28, 27, 8, 23, 25, 3, 7, 16, 5, 18, 12]	2.0000000000575113e-06	9.999999999177334e-07
[25, 7, 12, 1, 26, 5, 8, 3, 18, 11, 19, 22, 15, 28, 14]	1.000000000139778e-06	1.000000000139778e-06
[6, 2, 8, 11, 17, 14, 25, 29, 3, 13, 24, 21, 23, 16, 22]	0.0	0.0
[1, 9, 5, 8, 11, 12, 0, 29, 4, 25, 28, 20, 21, 15, 14]	9.999999999177334e-07	1.9999999998354667e-06
[23, 2, 20, 14, 12, 3, 10, 22, 7, 16, 6, 17, 24, 18, 15]	0.0	1.000000000139778e-06
[18, 17, 29, 1, 24, 22, 21, 19, 13, 2, 6, 11, 16, 15, 8]	0.0	0.0
[12, 6, 18, 28, 17, 14, 2, 4, 11, 29, 3, 24, 13, 9, 22]	0.0	0.0
[12, 17, 9, 14, 29, 20, 6, 27, 11, 26, 16, 0, 15, 25, 18]	2.0000000000575113e-06	1.000000000139778e-06
[26, 28, 12, 17, 11, 9, 16, 27, 21, 5, 2, 3, 1, 13, 18]	9.999999999177334e-07	9.999999999177334e-07
[14, 6, 0, 23, 26, 4, 27, 7, 10, 18, 16, 13, 15, 5, 21]	9.999999999177334e-07	9.999999999177334e-07
[28, 2, 7, 21, 15, 9, 18, 8, 19, 13, 16, 24, 10, 22, 12]	9.999999999177334e-07	9.999999999177334e-07
[13, 6, 27, 22, 28, 23, 8, 4, 9, 14, 26, 18, 2, 24, 1]	1.000000000139778e-06	0.0
[22, 20, 2, 1, 10, 7, 11, 27, 21, 29, 13, 14, 12, 9, 28]	0.0	0.0
[17, 2, 5, 26, 13, 14, 1, 12, 7, 25, 18, 8, 28, 23, 19]	9.999999999177334e-07	0.0
[14, 4, 24, 29, 19, 25, 23, 13, 12, 0, 15, 27, 10, 17, 16]	2.0000000000575113e-06	1.000000000139778e-06
[23, 26, 18, 8, 1, 16, 11, 5, 4, 6, 14, 13, 7, 3, 22]	1.000000000139778e-06	1.000000000139778e-06
[18, 4, 17, 20, 22, 28, 26, 9, 3, 25, 2, 27, 24, 5, 21]	1.9999999998354667e-06	1.000000000139778e-06
[3, 13, 27, 15, 28, 14, 17, 0, 2, 7, 20, 4, 11, 22, 1]	0.0	1.000000000139778e-06
[25, 17, 1, 23, 6, 4, 20, 28, 14, 9, 26, 11, 15, 5, 22]	1.000000000139778e-06	9.999999999177334e-07
[11, 23, 0, 8, 14, 21, 3, 12, 5, 29, 16, 15, 6, 13, 22]	1.000000000139778e-06	0.0
[23, 10, 12, 20, 21, 18, 1, 0, 2, 17, 15, 13, 19, 28, 26]	2.0000000000575113e-06	0.0
[23, 0, 9, 16, 26, 18, 24, 1, 15, 2, 17, 13, 21, 27, 28]	0.0	0.0
[1, 19, 16, 17, 26, 12, 21, 27, 0, 14, 7, 15, 25, 9, 2]	2.0000000000575113e-06	0.0
[7, 29, 9, 19, 8, 16, 5, 12, 21, 3, 28, 26, 11, 27, 25]	9.999999999177334e-07	0.0
