A	T_merge	T_heap
[27, 8, 22, 6, 12, 10, 16, 25, 26, 14, 13, 7, 28, 29, 15]	1.7999999999851468e-05	9.000000000147779e-06
[23, 7, 12, 1, 18, 6, 29, 20, 19, 11, 25, 16, 9, 3, 10]	2.300000000010627e-05	1.6000000000016e-05
[12, 22, 28, 23, 24, 9, 19, 6, 3, 4, 26, 7, 10, 21, 8]	1.5000000000098268e-05	8.999999999925734e-06
[14, 22, 23, 18, 8, 12, 24, 20, 28, 15, 26, 5, 19, 17, 1]	8.999999999925734e-06	9.000000000147779e-06
[20, 17, 1, 11, 16, 6, 10, 19, 24, 4, 26, 14, 9, 0, 22]	1.0999999999983245e-05	1.0999999999983245e-05
[1, 4, 15, 5, 0, 26, 17, 13, 3, 8, 12, 14, 23, 22, 16]	1.0999999999983245e-05	8.000000000008e-06
[3, 24, 28, 6, 0, 27, 10, 21, 2, 19, 18, 8, 20, 4, 5]	1.4999999999876223e-05	1.1999999999900979e-05
[9, 7, 21, 11, 6, 12, 10, 0, 14, 8, 25, 5, 13, 22, 18]	1.1999999999900979e-05	1.2999999999818712e-05
[27, 25, 8, 13, 11, 5, 29, 14, 24, 7, 23, 10, 18, 19, 0]	1.0999999999983245e-05	1.0000000000065512e-05
[14, 0, 20, 25, 4, 7, 16, 13, 23, 12, 8, 29, 19, 18, 22]	1.2000000000123023e-05	1.100000000020529e-05
[9, 22, 18, 1, 14, 6, 0, 19, 12, 7, 13, 2, 4, 26, 3]	1.1999999999900979e-05	2.6000000000081513e-05
[23, 18, 9, 13, 5, 29, 22, 6, 17, 20, 14, 16, 10, 27, 8]	1.6000000000016e-05	1.0000000000065512e-05
[17, 2, 14, 23, 18, 19, 29, 4, 10, 16, 5, 25, 27, 24, 1]	7.000000000090267e-06	8.000000000008e-06
[21, 7, 2, 6, 24, 1, 12, 23, 0, 16, 22, 26, 29, 20, 25]	1.3000000000040757e-05	3.799999999998249e-05
[15, 9, 20, 19, 10, 14, 24, 25, 17, 28, 6, 3, 1, 0, 16]	3.4000000000089514e-05	2.0000000000131024e-05
[24, 29, 21, 22, 26, 1, 28, 5, 8, 2, 10, 4, 13, 19, 3]	1.6000000000016e-05	6.999999999868223e-06
