	A	len	T_insertion	T_quick	T_merge	T_heap
62	[12, 9, 15, 16, 0, 3, 18, 11, 2, 8]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
63	[0, 9, 13, 7, 1, 3, 2, 19, 15, 16]	10	0.0	0.0	0.0	7.000000000090267e-06
64	[1, 0, 5, 19, 6, 15, 12, 8, 11, 16]	10	2.000000000279556e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
65	[7, 19, 15, 11, 6, 17, 8, 0, 10, 14]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	1.000000000139778e-06
66	[15, 16, 1, 5, 17, 7, 11, 13, 14, 3]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	1.000000000139778e-06
67	[8, 7, 19, 18, 3, 10, 9, 2, 1, 16]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
68	[4, 10, 1, 13, 5, 9, 18, 16, 11, 2]	10	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06	0.0
69	[19, 12, 5, 14, 11, 3, 16, 10, 18, 15]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	0.0
70	[10, 8, 1, 15, 9, 7, 4, 2, 16, 13]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	9.999999992515995e-07
71	[1, 17, 14, 7, 3, 15, 12, 10, 11, 4]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
72	[1, 10, 0, 17, 12, 18, 14, 6, 9, 2]	10	1.9999999993913775e-06	0.0	1.000000000139778e-06	0.0
73	[12, 15, 14, 16, 4, 9, 5, 11, 19, 1]	10	0.0	1.000000000139778e-06	0.0	0.0
74	[17, 14, 5, 16, 1, 0, 13, 18, 9, 6]	10	1.000000000139778e-06	2.000000000279556e-06	9.999999992515995e-07	0.0
75	[2, 12, 19, 3, 8, 18, 10, 0, 1, 4]	10	0.0	0.0	1.9999999993913775e-06	1.000000000139778e-06
76	[14, 8, 4, 1, 6, 19, 2, 7, 15, 5]	10	2.000000000279556e-06	9.999999992515995e-07	0.0	0.0
77	[17, 3, 0, 18, 1, 19, 2, 4, 12, 5]	10	2.000000000279556e-06	1.000000000139778e-06	0.0	0.0
78	[17, 8, 10, 19, 5, 1, 6, 18, 12, 11]	10	1.000000000139778e-06	1.9999999993913775e-06	1.000000000139778e-06	1.000000000139778e-06
79	[9, 4, 1, 8, 19, 17, 13, 5, 0, 12]	10	0.0	1.000000000139778e-06	2.000000000279556e-06	0.0
80	[19, 3, 13, 11, 15, 18, 6, 5, 14, 16]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	0.0
81	[19, 18, 8, 11, 2, 14, 6, 13, 5, 16]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
82	[8, 12, 14, 16, 4, 18, 2, 11, 15, 6]	10	1.000000000139778e-06	0.0	0.0	0.0
83	[9, 14, 15, 11, 4, 0, 13, 3, 19, 6]	10	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06
84	[12, 8, 2, 5, 13, 9, 11, 16, 15, 10]	10	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06	9.999999992515995e-07
85	[17, 18, 16, 13, 12, 2, 11, 7, 1, 5]	10	0.0	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
86	[17, 10, 8, 7, 11, 3, 14, 13, 0, 4]	10	1.000000000139778e-06	3.300000000017178e-05	1.000000000139778e-06	4.999999999810711e-06
87	[14, 7, 6, 13, 18, 9, 4, 8, 2, 16]	10	2.000000000279556e-06	0.0	1.000000000139778e-06	0.0
88	[10, 1, 0, 5, 18, 19, 2, 3, 6, 9]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
89	[16, 1, 6, 19, 10, 5, 7, 12, 14, 3]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
90	[11, 0, 18, 5, 6, 16, 1, 8, 9, 15]	10	0.0	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06
91	[13, 8, 7, 11, 18, 16, 2, 9, 0, 3]	10	1.000000000139778e-06	0.0	1.9999999993913775e-06	1.000000000139778e-06
92	[7, 16, 14, 6, 4, 12, 19, 10, 17, 15]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.9999999993913775e-06
93	[8, 13, 19, 17, 0, 11, 3, 2, 10, 7]	10	2.000000000279556e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
94	[19, 0, 1, 8, 10, 6, 14, 11, 15, 16]	10	0.0	0.0	0.0	0.0
95	[15, 2, 3, 6, 11, 5, 7, 14, 18, 17]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	9.999999992515995e-07
96	[13, 17, 9, 3, 6, 15, 5, 4, 11, 16]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
97	[15, 12, 4, 18, 13, 0, 11, 19, 7, 5]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
98	[11, 7, 14, 1, 6, 13, 8, 15, 9, 2]	10	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	9.999999992515995e-07
99	[7, 15, 12, 10, 14, 6, 11, 1, 18, 17]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
100	[17, 6, 18, 15, 11, 7, 0, 3, 5, 10]	10	0.0	0.0	0.0	0.0
101	[15, 12, 14, 10, 7, 2, 6, 8, 0, 3]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	2.000000000279556e-06
102	[2, 17, 1, 5, 0, 12, 16, 18, 14, 8]	10	0.0	0.0	0.0	1.000000000139778e-06
103	[14, 1, 18, 7, 19, 17, 13, 15, 6, 10]	10	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
104	[16, 0, 10, 17, 14, 8, 15, 4, 2, 13]	10	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06
105	[0, 9, 15, 12, 6, 18, 11, 17, 10, 16]	10	2.000000000279556e-06	2.000000000279556e-06	9.999999992515995e-07	2.000000000279556e-06
106	[18, 16, 1, 11, 3, 2, 19, 4, 0, 17]	10	1.000000000139778e-06	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06
107	[1, 11, 5, 4, 17, 0, 13, 3, 15, 19]	10	1.000000000139778e-06	1.9999999993913775e-06	2.000000000279556e-06	1.000000000139778e-06
108	[8, 12, 15, 3, 19, 18, 9, 7, 5, 11]	10	2.000000000279556e-06	1.9999999993913775e-06	1.000000000139778e-06	2.000000000279556e-06
109	[10, 6, 16, 3, 5, 17, 4, 1, 0, 12]	10	9.999999992515995e-07	1.000000000139778e-06	0.0	2.000000000279556e-06
110	[17, 13, 9, 7, 10, 12, 14, 15, 3, 2]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06
111	[16, 6, 13, 9, 19, 5, 14, 2, 17, 15]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
112	[17, 2, 7, 19, 3, 11, 0, 1, 4, 12]	10	0.0	0.0	1.000000000139778e-06	2.000000000279556e-06
