T_insertion	T_quick	T_merge	T_heap	T_combination
5.999999999062311e-06	3.999999997006398e-06	4.0000000041118255e-06	3.999999997006398e-06	5.000000001587068e-06
9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	2.0000000020559128e-06	9.999999974752427e-07
1.00000000458067e-06	8.000000001118224e-06	1.00000000458067e-06	9.999999974752427e-07	1.00000000458067e-06
4.999999994481641e-06	4.0000000041118255e-06	2.9999999995311555e-06	3.999999997006398e-06	2.0000000020559128e-06
4.999999994481641e-06	5.999999999062311e-06	2.9999999995311555e-06	5.000000001587068e-06	2.9999999995311555e-06
3.999999989900971e-06	6.999999996537554e-06	4.0000000041118255e-06	2.999999992425728e-06	1.2999999995599865e-05
1.9999999949504854e-06	1.9999999949504854e-06	3.000000006636583e-06	3.000000006636583e-06	9.999999974752427e-07
1.9999999949504854e-06	2.999999992425728e-06	9.999999974752427e-07	5.999999999062311e-06	1.0000000116860974e-06
5.999999999062311e-06	1.9999999949504854e-06	9.999999974752427e-07	3.999999989900971e-06	4.0000000041118255e-06
5.000000001587068e-06	3.000000006636583e-06	1.9999999949504854e-06	4.0000000041118255e-06	3.000000006636583e-06
6.000000013273166e-06	5.000000001587068e-06	3.000000006636583e-06	3.999999989900971e-06	4.0000000041118255e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.0000000116860974e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	3.000000006636583e-06	2.00000000916134e-06
1.9999999949504854e-06	1.0000000116860974e-06	6.999999996537554e-06	3.000000006636583e-06	9.999999974752427e-07
8.000000008223651e-06	9.999999974752427e-07	2.00000000916134e-06	4.0000000041118255e-06	1.9999999949504854e-06
3.999999989900971e-06	9.999999974752427e-07	4.0000000041118255e-06	3.000000006636583e-06	3.000000006636583e-06
9.999999974752427e-07	2.00000000916134e-06	2.00000000916134e-06	9.999999974752427e-07	2.00000000916134e-06
9.999999974752427e-07	2.00000000916134e-06	1.0000000116860974e-06	1.9999999949504854e-06	9.999999974752427e-07
5.999999999062311e-06	1.1999999998124622e-05	8.999999991488039e-06	2.999999992425728e-06	9.999999974752427e-07
5.000000001587068e-06	9.999999974752427e-07	1.0000000116860974e-06	5.000000001587068e-06	1.9999999949504854e-06
4.0000000041118255e-06	1.9999999949504854e-06	2.999999992425728e-06	3.000000006636583e-06	1.9999999949504854e-06
1.0000000116860974e-06	1.0000000116860974e-06	2.00000000916134e-06	9.999999974752427e-07	9.999999974752427e-07
1.0000000116860974e-06	1.0000000116860974e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
4.0000000041118255e-06	9.999999974752427e-07	1.0000000116860974e-06	1.9999999949504854e-06	1.0000000116860974e-06
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	2.00000000916134e-06
5.999999999062311e-06	1.9999999949504854e-06	3.000000006636583e-06	3.000000006636583e-06	1.9999999949504854e-06
